Time, Nose_Y
25.86853,-0.4611583
25.90062,-0.4624394
25.92925,-0.4637674
25.97086,-0.4653013
25.99879,-0.4668608
26.03172,-0.4682433
26.0675,-0.4695154
26.09846,-0.4709095
26.13473,-0.4720309
26.16717,-0.4724534
26.19897,-0.4728279
26.23623,-0.472483
26.27304,-0.4719815
26.30436,-0.4724067
26.3388,-0.4725251
26.3714,-0.4734768
26.40499,-0.475114
26.44078,-0.4764529
26.47281,-0.4785854
26.50132,-0.4809811
26.53538,-0.4827101
26.56842,-0.4835175
26.60155,-0.4831299
26.63884,-0.4818731
26.67053,-0.4808939
26.70282,-0.4799625
26.73958,-0.4794165
26.77053,-0.4781304
26.80294,-0.4771792
26.83796,-0.4765131
26.8699,-0.4762103
26.90276,-0.4767664
26.93803,-0.477155
26.96973,-0.4775559
27.00594,-0.4773468
27.03784,-0.4773096
27.07455,-0.476908
27.10723,-0.4764666
27.13956,-0.4766977
27.17285,-0.4767936
27.20987,-0.4761202
27.24664,-0.4750949
27.27481,-0.4735219
27.30722,-0.4717947
27.34382,-0.470528
27.3769,-0.4699256
27.40984,-0.4700917
27.44145,-0.4706029
27.47589,-0.4716829
27.5101,-0.4719874
27.54266,-0.4723624
27.57475,-0.4722766
27.60561,-0.4716493
27.64164,-0.471667
27.68248,-0.4713792
27.71321,-0.4708157
27.74553,-0.4706306
27.7786,-0.4695747
27.81498,-0.4685672
27.85161,-0.4679498
27.88772,-0.4677453
27.92303,-0.4686522
27.95574,-0.4698389
27.99127,-0.4713264
28.02349,-0.4724234
28.05737,-0.4734977
28.09699,-0.473827
28.13317,-0.4740433
28.1666,-0.4742333
28.20274,-0.473933
28.2343,-0.4737267
28.27094,-0.4728855
28.30219,-0.4722205
28.33631,-0.471332
28.37381,-0.47102
28.40851,-0.4709277
28.44334,-0.4706178
28.47598,-0.4703692
28.50702,-0.4697777
28.54278,-0.4688812
28.57542,-0.4677904
28.60766,-0.4673971
28.6448,-0.4669729
28.68133,-0.46688
28.7176,-0.4671087
28.75395,-0.4681524
28.78699,-0.4692934
28.82379,-0.4695641
28.85563,-0.4703527
28.89225,-0.4696428
28.92945,-0.4692023
28.96253,-0.4699843
28.9934,-0.4701615
29.02974,-0.471099
29.06944,-0.4715731
29.1011,-0.4721812
29.13561,-0.4737373
29.1678,-0.4752291
29.2042,-0.4771315
29.2398,-0.4785913
29.2711,-0.4791386
29.30401,-0.4793433
29.33537,-0.4790232
29.37317,-0.4780423
29.41226,-0.477537
29.43576,-0.4774388
29.46571,-0.4773231
29.50081,-0.4788995
29.53559,-0.4785591
29.56742,-0.4772965
29.59895,-0.4771777
29.63302,-0.4759308
29.67083,-0.4763136
29.70653,-0.4764713
29.73889,-0.475624
29.77405,-0.4748702
29.80593,-0.4741448
29.83832,-0.4741668
29.87433,-0.4740745
29.90652,-0.4741925
29.94256,-0.4738154
29.97475,-0.4724708
30.01119,-0.4719559
30.0442,-0.4704759
30.07257,-0.4703066
30.10747,-0.4709829
30.13877,-0.4710689
30.17914,-0.4720851
