Time, Nose_Acceleration
22.352,32.65078
22.38784,40.82938
22.42125,29.24282
22.45245,46.26099
22.49174,51.97932
22.52316,60.57419
22.55988,72.75
22.59148,58.16993
22.62365,98.85258
22.65607,83.91133
22.69102,56.40261
22.72743,39.58728
22.7602,59.03416
22.79361,32.91403
22.82673,59.83002
22.863,46.74386
22.9052,7.451155
22.92875,147.4842
22.9592,216.3071
22.99756,224.7215
23.0292,124.7673
23.06507,53.75897
23.09721,154.7291
23.13076,184.958
23.1622,299.0772
23.19677,187.1027
23.22911,102.2565
23.26004,139.0805
23.29649,151.2971
23.33195,217.4685
23.3658,205.7454
23.40193,228.7335
23.43512,489.5429
23.46714,123.6568
23.50297,609.9249
23.53825,298.8778
23.56954,984.9174
23.60176,532.4296
23.63859,1019.866
23.67419,391.4708
23.70642,217.6456
23.73864,59.12187
23.76963,703.5098
23.8035,1043.182
23.83579,1085.311
23.87217,577.8769
23.90419,128.3685
23.93192,233.7381
23.96688,340.5213
23.99823,225.3355
24.03392,150.8755
24.06973,151.1866
24.10116,199.4224
24.13287,173.2104
24.16474,123.9182
24.19723,89.61446
24.23751,44.84319
24.2689,83.08399
24.30637,46.21904
24.34076,31.56832
24.3736,21.33791
24.40622,77.59418
24.43934,68.81016
24.46807,84.22346
24.50415,146.6624
24.53293,117.7852
24.5687,148.4472
24.60263,132.0847
24.63412,209.4868
24.66947,192.0517
24.70038,210.6618
24.73636,266.2513
24.76955,265.5115
24.80172,235.846
24.83453,428.9886
24.87064,284.0199
24.90259,543.7269
24.93627,326.8853
24.9682,342.7682
25.00316,313.0102
25.03204,347.4842
25.0636,325.0783
25.09865,268.014
25.1307,243.7596
25.16734,141.2033
25.20167,167.0275
25.23398,135.1693
25.2657,160.5252
25.29856,167.796
25.33288,118.1046
25.36786,20.42664
25.40072,168.6609
25.43556,200.3119
25.46859,204.6868
25.50468,303.3115
25.53716,184.8956
25.56549,212.7305
25.60216,270.4669
25.63551,253.2295
25.66616,496.1037
25.70253,353.4514
25.73324,330.2221
25.76621,316.7234
25.79729,301.577
25.835,327.9082
25.86853,282.1494
25.90062,364.1675
25.92925,349.7043
25.97086,232.233
25.99879,200.0344
26.03172,266.1651
26.0675,287.2513
26.09846,324.5612
26.13473,339.2753
26.16717,276.238
26.19897,197.6109
26.23623,162.8249
26.27304,205.3544
26.30436,206.3639
26.3388,284.0836
26.3714,219.0371
26.40499,211.4317
26.44078,207.012
26.47281,224.7742
26.50132,242.9726
26.53538,195.4561
26.56842,204.7608
26.60155,124.5274
26.63884,85.49982
26.67053,175.1542
26.70282,121.5769
26.73958,135.7482
26.77053,96.56298
26.80294,67.27407
26.83796,58.15703
26.8699,37.57278
26.90276,60.56588
26.93803,62.93721
26.96973,109.5015
27.00594,60.8462
27.03784,75.44192
27.07455,66.4702
27.10723,52.42065
27.13956,57.11129
27.17285,21.94672
27.20987,118.9648
27.24664,91.39904
27.27481,150.9592
27.30722,169.0197
27.34382,183.6104
27.3769,140.8345
27.40984,80.30064
27.44145,49.64716
27.47589,93.35558
27.5101,17.29007
27.54266,38.29335
27.57475,62.40596
27.60561,78.76573
27.64164,24.36517
27.68248,25.02969
27.71321,38.74704
27.74553,31.78486
27.7786,101.4944
27.81498,110.1792
27.85161,109.6764
27.88772,89.62466
27.92303,106.0583
27.95574,99.18782
27.99127,149.8442
28.02349,150.9766
28.05737,138.0986
28.09699,53.76278
28.13317,51.87428
28.1666,34.56699
28.20274,30.48442
28.2343,24.64886
28.27094,89.59226
28.30219,58.39266
28.33631,84.0619
28.37381,27.4531
28.40851,45.0231
28.44334,47.06166
28.47598,34.25804
28.50702,34.6765
28.54278,78.72488
28.57542,82.34457
28.60766,32.86524
28.6448,27.1493
28.68133,22.70852
28.7176,18.886
28.75395,58.01382
28.78699,89.73009
28.82379,30.22376
28.85563,56.00359
28.89225,72.68438
28.92945,87.99454
28.96253,67.79191
28.9934,138.548
29.02974,155.3273
29.06944,97.49325
29.1011,86.59225
29.13561,87.94992
29.1678,120.5725
29.2042,134.553
29.2398,80.99245
29.2711,82.61243
29.30401,82.43526
29.33537,92.83717
29.37317,157.8815
29.41226,17.06367
29.43576,91.47659
29.46571,115.2444
29.50081,163.5461
29.53559,140.8432
29.56742,227.7475
29.59895,206.9552
29.63302,161.2803
