Time, Pelvis_Velocity
26.13473,0.8811266
26.16717,0.4349873
26.19897,1.047389
26.23623,1.532501
26.27304,1.457655
26.30436,1.288836
26.3388,0.4563264
26.3714,0.7580575
26.40499,0.9635712
26.44078,1.231257
26.47281,0.4187064
26.50132,0.2908759
26.53538,0.3481003
26.56842,0.477913
26.60155,0.4815164
26.63884,0.7243227
26.67053,0.8505118
26.70282,0.5282946
26.73958,0.324445
26.77053,0.3517388
26.80294,0.5606498
26.83796,0.5156503
26.8699,0.4268117
26.90276,0.6082218
26.93803,0.9339493
26.96973,0.7591966
27.00594,0.6329348
27.03784,0.3868983
27.07455,0.6190728
27.10723,0.4920882
27.13956,0.7310562
27.17285,0.5276121
27.20987,0.1441941
27.24664,0.1450654
27.27481,0.2158559
27.30722,0.2189528
27.34382,0.1871312
27.3769,0.1670316
27.40984,0.05104075
27.44145,0.173354
27.47589,0.214083
27.5101,0.1534353
27.54266,0.2352956
27.57475,0.2908914
27.60561,0.3291324
27.64164,0.1773424
27.68248,0.2404338
27.71321,0.2712097
27.74553,0.2497652
27.7786,0.2606563
27.81498,0.4563143
27.85161,0.3531832
27.88772,0.186773
27.92303,0.1514811
27.95574,0.5108358
27.99127,0.6573389
28.02349,0.7336444
28.05737,0.6585117
28.09699,0.5851289
28.13317,0.563659
28.1666,0.1699661
28.20274,0.04587451
28.2343,0.3520454
28.27094,0.2159207
28.30219,0.2158664
28.33631,0.23704
28.37381,0.2621093
28.40851,0.5095214
28.44334,0.3436606
28.47598,0.3484591
28.50702,0.236345
28.54278,0.1349242
28.57542,0.1615395
28.60766,0.1399814
28.6448,0.1281808
28.68133,0.6781986
28.7176,0.6036798
28.75395,0.5911916
28.78699,0.9147491
28.82379,0.5294548
28.85563,0.6023304
28.89225,0.8707317
28.92945,0.7666398
28.96253,0.620118
28.9934,1.378375
29.02974,2.085076
29.06944,1.3765
29.1011,0.9331717
29.13561,0.8192767
29.1678,0.2676352
29.2042,0.7750527
29.2398,0.7074428
29.2711,0.251915
29.30401,0.8059925
29.33537,0.8743697
29.37317,0.3229935
29.41226,0.1838664
29.43576,1.500504
29.46571,1.763222
29.50081,1.569576
29.53559,1.080165
29.56742,0.8994694
29.59895,0.5073503
29.63302,0.6955824
29.67083,0.3615426
29.70653,0.3109319
29.73889,0.3444307
29.77405,0.2531694
29.80593,0.4985471
29.83832,0.626085
29.87433,0.6165654
29.90652,0.568941
29.94256,0.5301838
29.97475,0.657652
30.01119,0.6766446
30.0442,0.8030138
30.07257,0.7662145
30.10747,0.4751225
30.13877,0.3782503
30.17914,0.1846896
30.20917,0.02799883
30.24521,0.04159359
30.28287,0.1219722
30.31682,0.1225188
30.34847,0.1298277
30.38434,0.3175612
30.42119,0.4587024
30.45752,0.4256653
30.49264,0.5992338
30.52907,0.448347
30.56418,0.4075543
30.6007,0.3981826
30.63956,0.1958076
30.67555,0.3388287
30.70796,0.2664056
30.73921,0.1301926
30.77575,0.1265155
30.80764,0.3900457
30.84016,0.5886886
30.87529,0.6959438
30.90807,0.7471696
30.93981,0.7209572
30.97242,0.429063
31.00328,0.1643108
31.03747,0.3279516
31.06947,0.345274
31.10546,0.6093788
31.13994,0.4017281
31.17421,0.2845919
31.20561,0.3316746
31.24095,0.6779228
31.27229,0.6505122
31.30533,0.5889703
31.34187,0.3529124
31.37788,0.3249271
31.40934,0.2364131
31.44674,0.2709768
31.47399,0.2707738
31.51437,0.2691986
31.54725,0.3873123
31.58228,0.4096965
31.62128,0.7250572
31.65218,0.9081185
31.68781,0.576436
31.72385,0.57424
31.76057,0.1099235
31.79515,0.7985157
31.83125,1.262225
31.8632,1.199778
31.89831,1.218032
31.93498,0.7507749
31.96643,0.3840181
32.00666,0.3678809
32.03918,0.3855852
32.07284,0.5718656
32.10811,0.4005023
32.14258,0.3753054
32.17934,0.4583509
32.21221,0.2025197
32.24759,0.2872672
32.28386,0.5096971
32.32204,0.6056622
32.35749,0.7775611
32.38884,0.871865
32.42525,0.5965233
32.45622,0.4760463
32.4927,1.059507
32.52455,1.087317
32.55968,1.123666
32.59314,1.284963
32.62886,1.307835
32.66166,1.344201
32.69449,0.2348101
32.72775,0.3633505
32.76441,0.2006507
32.79735,0.5273317
32.82951,0.6754704
32.86618,0.7560391
32.9001,0.9623646
32.93433,0.6725365
32.96725,0.4753232
33.00491,0.3015885
33.03578,0.08733618
33.07166,0.08108755
33.1031,0.2033416
33.13842,0.2514453
33.1701,0.2738785
33.20757,0.2721554
33.24017,0.2214365
33.27766,0.2113432
33.30667,0.2689241
33.34044,0.2310832
33.37212,0.1918496
33.40817,0.2384974
33.44075,0.4440266
33.47304,0.427252
33.50572,0.4318576
33.54052,0.3436974
33.57271,0.06398512
33.60425,0.0515425
33.63622,0.327994
33.67592,0.2733524
33.70316,0.6004331
33.73832,0.6023415
33.77385,0.3221063
33.80141,0.3935441
33.83807,0.2737399
33.87136,0.2572884
33.90858,0.2619997
33.94096,0.2485681
33.97607,0.08590544
34.00878,0.6007193
34.03928,0.7659214
34.07605,0.7920566
34.11053,0.6835679
34.14229,0.5526682
34.1737,0.2139964
34.21283,0.3285731
34.24338,0.2943881
34.275,0.5451161
34.30706,0.3603841
34.33808,0.1445309
34.37318,0.3491164
34.40851,0.2948971
34.44217,0.2516818
34.47645,0.1363065
34.50868,0.4077895
34.54519,1.87089
34.5776,3.679772
34.60938,3.450691
34.64179,3.601442
34.67833,1.635459
34.71141,3.269594
34.74029,2.03454
34.77621,3.105005
34.80796,1.243202
34.84396,0.466738
34.87452,1.269731
34.90533,3.894292
34.94049,3.377408
34.97129,7.217051
35.00588,4.728299
35.03555,4.414307
35.06974,4.248116
35.10814,1.353744
35.14338,1.088997
35.17265,0.4450033
35.20769,0.2171992
35.24284,0.15382
35.27786,0.1504103
35.31174,0.06592783
35.34487,0.06828126
35.37855,0.02569043
35.41132,0.6172088
35.44733,0.5715123
35.48082,0.930811
35.51473,1.108692
35.54501,0.4340185
35.58156,0.3827523
35.61609,0.251767
35.65132,0.227852
35.68231,0.09449115
35.71792,0.0001373555
35.75132,4.165851E-05
35.78216,2.852188E-05
