Time, Nose_X
13.53896,0.06299005
13.57178,0.06298053
13.60476,0.06323342
13.64073,0.06430486
13.67714,0.06591047
13.70732,0.06717975
13.74188,0.06818336
13.78078,0.06941996
13.81378,0.07109591
13.84774,0.07370307
13.88325,0.0768378
13.91567,0.08079533
13.94834,0.08374704
13.98483,0.08658911
14.02019,0.08986078
14.05542,0.092842
14.08875,0.09730649
14.12462,0.1012399
14.15798,0.1036143
14.1892,0.1032854
14.22526,0.1018335
14.26087,0.09872963
14.29628,0.09512426
14.32513,0.0925857
14.36231,0.08639804
14.39546,0.08068158
14.42864,0.07408869
14.46643,0.06588598
14.50481,0.06232357
14.53022,0.05510441
14.56343,0.0486088
14.60013,0.04241563
14.63641,0.03562828
14.6676,0.02979633
14.70423,0.02675279
14.74207,0.0238651
14.77656,0.02184369
14.81421,0.02439305
14.84681,0.02540123
14.88603,0.02897569
14.91851,0.03134716
14.95566,0.03296145
14.99181,0.03478493
15.02774,0.03584
15.06196,0.03638666
15.0959,0.03727732
15.1333,0.03914222
15.16558,0.04141168
15.19862,0.04442751
15.23563,0.04101624
15.26984,0.03591045
15.30545,0.03237126
15.34143,0.05425134
15.37942,0.0820173
15.41149,0.1098289
15.45073,0.1353894
15.49079,0.13474
15.52648,0.1340233
15.56392,0.133665
15.60278,0.1333406
15.63979,0.1333109
15.67235,0.1333287
15.71234,0.133415
15.74775,0.1334437
15.78468,0.1333768
15.82269,0.1331359
15.85556,0.1328213
15.89816,0.1322166
15.92947,0.1308639
15.96351,0.1295067
16.00144,0.1281679
16.03782,0.1270494
16.0792,0.1265057
16.11243,0.1503406
16.14848,0.1732656
16.18604,0.1991446
16.22135,0.2247932
16.25937,0.2262
16.29473,0.2289061
16.32807,0.2300786
16.36395,0.2358175
16.39456,0.2421135
16.43008,0.2513255
16.46973,0.2609288
16.50103,0.2672252
16.53407,0.2736885
16.56527,0.2766986
16.60163,0.2777202
16.63111,0.2773639
16.67001,0.2759299
16.69552,0.2729845
16.7258,0.2696743
16.75912,0.265598
16.79141,0.2604442
16.82597,0.2548833
16.85799,0.2497472
16.89598,0.245029
16.93141,0.2414398
16.9624,0.2375734
16.99501,0.2278486
17.02619,0.2236005
17.06544,0.2191206
17.10083,0.2183397
17.13303,0.2260228
17.16581,0.2276855
17.19875,0.2294523
17.23265,0.2287885
17.26359,0.2248913
17.30341,0.2208543
17.33463,0.2171967
17.36739,0.2120948
17.39946,0.2069337
17.43183,0.2035533
17.46589,0.1996441
17.50274,0.1986943
17.53643,0.1986937
17.56826,0.1969244
17.60041,0.1955067
17.63418,0.1950185
17.66976,0.1956737
17.70392,0.198474
17.73723,0.2025108
17.76527,0.2091346
17.80255,0.2189684
17.83477,0.2323325
17.86619,0.2469439
17.8942,0.2605982
17.93293,0.2729198
17.96564,0.2841383
17.99827,0.2971129
18.03183,0.3104455
18.06733,0.324258
18.09868,0.338827
18.13072,0.3529202
18.16549,0.3667528
18.19843,0.3795483
18.23043,0.3906707
18.26702,0.3999906
18.2993,0.4066253
18.33489,0.4104901
18.36587,0.4104479
18.40099,0.4068457
18.43283,0.4015304
18.4682,0.395762
18.5,0.3914499
18.53201,0.3885906
18.56718,0.3842167
18.60141,0.3797163
18.63199,0.374343
18.66506,0.3688431
18.69833,0.3661618
18.74112,0.3640443
18.76039,0.3608006
18.79517,0.3580789
18.82638,0.3552321
18.86209,0.3503294
18.89906,0.3451248
18.92785,0.3392622
18.96461,0.332825
18.99188,0.3289821
19.02887,0.3272232
19.06634,0.3271355
19.09498,0.3275251
19.13222,0.3281756
19.16409,0.3304376
19.20087,0.3333853
19.23401,0.3386177
19.26575,0.3453889
19.29973,0.3537271
19.33069,0.3613969
19.36525,0.3693419
19.40137,0.3764043
19.4294,0.3814214
19.46621,0.3857185
19.49885,0.3877547
19.53439,0.3893213
19.56777,0.390824
19.60051,0.3926525
19.63378,0.3946157
19.6654,0.3963113
19.69747,0.3980016
19.73384,0.3995109
19.76135,0.4012032
19.79255,0.4026768
19.82531,0.4036801
19.86273,0.4049229
19.90002,0.4062283
19.93526,0.4071586
19.96845,0.4082395
20.00019,0.4082184
20.03476,0.4074136
20.07142,0.4065185
20.10197,0.4050496
20.13416,0.4040136
20.16954,0.4034771
20.19666,0.4035989
20.233,0.4040735
20.26977,0.4049598
20.30245,0.4057604
20.33454,0.4067392
20.367,0.4075655
20.40422,0.4085092
20.43289,0.4093089
20.46975,0.4094803
20.50203,0.4073262
20.53446,0.4021439
20.56793,0.3972365
20.60231,0.3938849
20.63417,0.3931738
20.67096,0.3959296
20.70271,0.3979498
20.73504,0.3979811
20.76754,0.3973664
20.80153,0.3960816
20.83519,0.3950973
20.87832,0.3950609
20.90559,0.3954499
20.93461,0.3966575
20.9689,0.3903625
21.0055,0.3802178
21.03444,0.3802257
21.06681,0.3797106
21.10352,0.3868872
21.13561,0.3977826
21.16684,0.3986339
21.20257,0.3982665
21.23428,0.397913
21.27051,0.3973162
21.30342,0.3967202
21.33944,0.3967775
21.37534,0.3968304
21.40666,0.3969917
21.43823,0.3977231
21.4778,0.3988788
21.50982,0.4009631
21.54298,0.4043726
21.57918,0.4077927
21.61122,0.4112563
21.6451,0.4146874
21.67835,0.4170654
21.71781,0.4199294
21.74867,0.4221883
21.78358,0.412078
21.81466,0.4124902
21.84554,0.4143707
21.87815,0.4155149
21.91063,0.4282265
21.94374,0.430079
21.98317,0.4299641
22.01393,0.430659
22.05076,0.4305837
22.07977,0.4300577
22.11655,0.4288268
22.14651,0.4274844
22.18431,0.4257558
22.21559,0.4241732
22.25128,0.4224319
22.28345,0.4205107
22.31911,0.4195879
22.352,0.4185763
22.38784,0.4177521
22.42125,0.417316
22.45245,0.416717
22.49174,0.4163423
22.52316,0.4156041
22.55988,0.4147943
22.59148,0.4139717
22.62365,0.4126745
22.65607,0.4115563
22.69102,0.410845
22.72743,0.410102
22.7602,0.4094225
22.79361,0.4090126
22.82673,0.4083446
22.863,0.4079022
22.9052,0.4071652
22.92875,0.405402
22.9592,0.4030723
22.99756,0.4005002
23.0292,0.3986963
23.06507,0.3979393
23.09721,0.3954024
23.13076,0.3924388
23.1622,0.389158
23.19677,0.3858382
23.22911,0.3843161
23.26004,0.3830619
23.29649,0.3812066
23.33195,0.3784409
23.3658,0.3750131
23.40193,0.3710825
23.43512,0.3635705
23.46714,0.3622081
23.50297,0.3561475
23.53825,0.357353
23.56954,0.3648675
23.60176,0.3645209
23.63859,0.3700479
23.67419,0.3663078
23.70642,0.3641936
23.73864,0.3645073
23.76963,0.3631583
23.8035,0.3594306
23.83579,0.3513787
23.87217,0.3473767
23.90419,0.34522
23.93192,0.3485662
23.96688,0.353304
23.99823,0.3549873
24.03392,0.3569888
24.06973,0.3594608
24.10116,0.3616732
24.13287,0.3640481
24.16474,0.3657863
24.19723,0.3666291
24.23751,0.3671713
24.2689,0.3665667
24.30637,0.36659
24.34076,0.3668122
24.3736,0.3670827
24.40622,0.3674809
24.43934,0.3672996
24.46807,0.3671373
24.50415,0.3676849
24.53293,0.3688059
24.5687,0.3708256
24.60263,0.3726922
24.63412,0.374957
24.66947,0.3777116
24.70038,0.3808861
24.73636,0.3851598
24.76955,0.3891494
24.80172,0.3933287
24.83453,0.3974522
24.87064,0.4016258
24.90259,0.4065062
24.93627,0.4121906
24.9682,0.4181789
25.00316,0.4239941
25.03204,0.429377
25.0636,0.4336286
25.09865,0.4371876
25.1307,0.440318
25.16734,0.4426603
25.20167,0.4450273
25.23398,0.4473922
25.2657,0.4494345
25.29856,0.4507343
25.33288,0.4517468
25.36786,0.4516206
25.40072,0.4532337
25.43556,0.4554924
25.46859,0.4570313
25.50468,0.4591359
25.53716,0.4593866
25.56549,0.4587508
25.60216,0.4567588
25.63551,0.4533617
25.66616,0.4487084
25.70253,0.4445374
25.73324,0.4401643
25.76621,0.435736
25.79729,0.4313104
25.835,0.425847
25.86853,0.4204178
25.90062,0.4153496
25.92925,0.4105386
25.97086,0.4065703
25.99879,0.4033331
26.03172,0.3997311
26.0675,0.3962525
26.09846,0.392465
26.13473,0.3888704
26.16717,0.3857985
26.19897,0.3826668
26.23623,0.3797618
26.27304,0.3768799
26.30436,0.3742163
26.3388,0.3711228
26.3714,0.3675289
26.40499,0.363872
26.44078,0.3599422
26.47281,0.3569128
26.50132,0.3533572
26.53538,0.3503415
26.56842,0.3479846
26.60155,0.3459724
26.63884,0.3455063
26.67053,0.3445054
26.70282,0.3435512
26.73958,0.3428037
26.77053,0.3421241
26.80294,0.3419022
26.83796,0.3417067
26.8699,0.3415838
26.90276,0.3414831
26.93803,0.3421265
26.96973,0.3426612
27.00594,0.341947
27.03784,0.3418519
27.07455,0.3411767
27.10723,0.3405885
27.13956,0.3416419
27.17285,0.3419555
27.20987,0.3435116
27.24664,0.3453649
